id,supermarket,category,name,description,trademark,trademark_propietary_flag,price,reference_price,reference_unit,insert_date,price_corrected
25862758,dia.es,despensa|pan|picos_de_pan,ANDRÉS picos pan rustic bolsa 140 gr,,andrés,False,1.59,11.36,kg,2023-03-15,False
25864751,dia.es,cuidado_del_hogar|utensilios_de_limpieza,SCOTCH BRITE estropajo metálico bolsa 3 + 1 ud,,scotch brite,False,2.39,0.6,ud,2023-03-15,False
25869632,mercadona.es,maquillaje|labios,Pintalabios Color Fix Deliplus 11 marrón,,deliplus,True,4.5,4.5,ud,2023-03-15,False
25855059,carrefour.es,productos_frescos|charcuteria|bacon_y_panceta,Bacón cocido ahumado en tiras El Pozo Corte Fresco sin gluten y sin lactosa pack 4x60 g,,otras marcas,False,3.1,12.92,kg,2023-03-15,False
25860773,dia.es,frescos|pescado_y_marisco|ahumados_y_salazones,DIA SELECCIÓN MUNDIAL salmón ahumado sobre 100 gr,,dia,True,3.99,39.9,kg,2023-03-15,False
25865366,mercadona.es,aceite_especias_y_salsas|aceite_vinagre_y_sal,"Aceite de girasol refinado 0,2º Hacendado",Garrafa,hacendado,True,8.95,1.79,l,2023-03-15,False
25869618,mercadona.es,maquillaje|labios,Perfilador de labios Long Lasting Deliplus 09 transparente,,deliplus,True,2.5,2.5,ud,2023-03-15,False
25869546,mercadona.es,maquillaje|bases_de_maquillaje_y_corrector,Maquillaje fluido Long Lasting Deliplus 03 beige medio,,deliplus,True,5.5,5.5,ud,2023-03-15,False
25861269,dia.es,despensa|desayunos_y_dulces|galletas,DONNA DELICIA galletas rellenas con chocolate caja 150 gr,,donna delicia,False,1.49,9.93,kg,2023-03-15,False
25866593,mercadona.es,cacao_cafe_e_infusiones|cafe_capsula_y_monodosis,Café en cápsula ristretto napoli Dolce Gusto,Caja,otras marcas,False,4.89,38.204,kg,2023-03-15,False
25855069,carrefour.es,productos_frescos|charcuteria|foie_pates_y_sobrasadas,Sobrasada El Pozo 250 g.,,otras marcas,False,1.89,7.56,kg,2023-03-15,False
25862969,dia.es,bebidas|bebidas_isotonicas_y_energeticas,AQUARIUS bebida refrescante de naranja zero botella 1.5 lt,,aquarius,False,1.95,1.3,l,2023-03-15,False
25870309,mercadona.es,panaderia_y_pasteleria|picos_rosquilletas_y_picatostes,Picos sin gluten Hacendado,Paquete,hacendado,True,1.55,15.5,kg,2023-03-15,False
25863445,dia.es,bodega|licores|pacharan,ZOCO pacharán botella 70 cl,,zoco,False,9.05,12.93,l,2023-03-15,False
25868687,mercadona.es,cuidado_facial_y_corporal|protector_solar_y_aftersun,Protector solar niños bruma Denenes Ecran FPS 50,Spray,otras marcas,False,13.0,5.2,100ml,2023-03-15,False
25862746,dia.es,despensa|pan|pan_de_molde,EL MOLINO DE DIA pan de molde 100% integral bolsa 460 gr,,dia,True,1.05,2.28,kg,2023-03-15,False
25869342,mercadona.es,limpieza_y_hogar|limpieza_bano_y_wc,Limpiador WC Desincrustante Bosque Verde en gel,Botella,bosque verde,True,1.65,1.65,l,2023-03-15,False
25863539,dia.es,bodega|vino|blanco,BLUME vino blanco DO Rueda botella 75 cl,,blume,False,5.95,7.93,l,2023-03-15,False
25862087,dia.es,despensa|conservas|conservas_de_pescado,DIA MARI MARINERA filetes de caballa del sur en aceite de oliva lata 85 gr,,dia,True,1.25,14.71,kg,2023-03-15,False
25868522,mercadona.es,cuidado_facial_y_corporal|manicura_y_pedicura,Laca de uñas Love Deliplus 169 salmón,,deliplus,True,2.5,2.5,ud,2023-03-15,False
25858587,carrefour.es,bebidas|aguas_y_zumos|agua_con_sabor,"Font Vella La Limonada con zumo de limón sin gas zero botella 1,25 l.",,otras marcas,False,1.94,1.55,l,2023-03-15,False
25861598,dia.es,despensa|desayunos_y_dulces|mermeladas_miel_y_frutas_en_almibar,DIA MIELOVE miel de romero bote 350 gr,,dia,True,3.59,10.26,kg,2023-03-15,False
25860413,dia.es,platos_preparados|gazpachos_y_salmorejos,DIA AL PUNTO gazpacho pack 3 unidades de 330 ml,,dia,True,2.25,2.27,l,2023-03-15,False
25868454,mercadona.es,cuidado_facial_y_corporal|higiene_intima,Protegeslip maxi Deliplus Cotton,Caja,deliplus,True,1.8,0.065,ud,2023-03-15,False
25860961,dia.es,despensa|lacteos_y_huevos|leche,DIA LACTEA leche condensada bote 1 Kg,,dia,True,3.99,3.99,kg,2023-03-15,False
25862193,dia.es,despensa|sopas|caldos,DIA caldo de pollo estuche 24 pastillas,,dia,False,1.25,0.05,ud,2023-03-15,False
25860616,dia.es,frescos|charcuteria_y_quesos|curados,DIA NUESTRA ALACENA taco de jamón curado pieza 300 gr,,dia,True,4.99,16.63,kg,2023-03-15,False
25860001,carrefour.es,parafarmacia|bebe|complementos_alimenticios_e_infusiones_para_bebe,,,otras marcas,False,25.29,29.75,kg,2023-03-15,False
25861057,dia.es,despensa|lacteos_y_huevos|yogures,DIA FIDIAS yogur griego con plátano y caramelo pack 4 unidades 125 gr,,dia,True,1.89,3.78,kg,2023-03-15,False
25867765,mercadona.es,conservas_caldos_y_cremas|conservas_de_verdura_y_frutas,Chucrut al estilo bávaro Hengstenberg,Tarro,otras marcas,False,2.0,3.077,kg,2023-03-15,False
25870644,mercadona.es,postres_y_yogures|yogures_naturales_y_sabores,Yogur sabor plátano Hacendado,Pack-4,hacendado,True,0.8,1.6,kg,2023-03-15,False
25865149,dia.es,cuidado_del_hogar|ambientadores,DIA MEYOMI vela perfumada vainilla caja 120 gr,,dia,True,1.95,1.95,ud,2023-03-15,False
25861731,dia.es,despensa|desayunos_y_dulces|caramelos_chicles_y_golosinas,FINI golosinas torcidas rellenas pica pica bolsa 180 gr,,fini,False,2.09,12.67,kg,2023-03-15,False
25858211,carrefour.es,bebidas|cerveza|artesanas,Cerveza artesana Carrefour Sensation Session IPA botella 33 cl.,,carrefour,True,1.61,4.88,l,2023-03-15,False
25859840,carrefour.es,perfumeria_e_higiene|bano_e_higiene_corporal|jabon_de_manos,Jabón de manos algodón Carrefour 500 ml.,,carrefour,True,0.9,0.18,100ml,2023-03-15,False
25863487,dia.es,bodega|vino|tinto,CASTILLO DE HARO vino tinto reserva DO Rioja botella 75 cl,,castillo de haro,False,6.99,9.32,l,2023-03-15,False
25865703,mercadona.es,agua_y_refrescos|refresco_de_te_y_sin_gas,Refresco de naranja Gold Spring sin gas,Pack-4,otras marcas,False,1.5,1.137,l,2023-03-15,False
25863752,dia.es,congelados|verduras_y_hortalizas,MCCAIN patatas fritas golden long bolsa 1 Kg,,mccain,False,3.45,3.45,kg,2023-03-15,False
25868723,mercadona.es,fitoterapia_y_parafarmacia|fitoterapia,Sticks Jalea Real y Própolis Deliplus,Caja,deliplus,True,4.95,4.125,100ml,2023-03-15,False
25860500,dia.es,frescos|carne|vacuno,SELECCIÓN DE DIA medallón de cadera vacuno bandeja (peso aprox. 450 gr),,dia,True,7.65,16.99,kg,2023-03-15,False
25861535,dia.es,despensa|desayunos_y_dulces|cafe,NESCAFE café farmers origins Colombia caja 10 cápsulas 53 gr,,nescafe,False,3.79,0.38,ud,2023-03-15,False
25864978,dia.es,cuidado_del_hogar|papel,AMOOS papel multiusos Jumbo 2 capas 1 rollo,,amoos,False,2.99,2.99,ud,2023-03-15,False
25870462,mercadona.es,pizzas_y_platos_preparados|platos_preparados_calientes,Patatas bravas con allioli y salsa picante Hacendado,Bandeja,hacendado,True,2.5,5.103,kg,2023-03-15,False
25856186,carrefour.es,la_despensa|yogures_y_postres|yogures_liquidos,Leche fermentada líquida con fresa Danone - Actimel kids pack de 14 unidades de 100 g.,,otras marcas,False,6.99,4.99,kg,2023-03-15,False
25869931,mercadona.es,marisco_y_pescado|salazones_y_ahumados,Filetes de anchoa en aceite de oliva Hacendado,Pack-3,hacendado,True,2.95,33.909,kg,2023-03-15,False
25867579,mercadona.es,congelados|rebozados,Empanadillas de atún Hacendado ultracongeladas,Caja,hacendado,True,1.8,3.6,kg,2023-03-15,False
25859495,carrefour.es,limpieza_y_hogar|ambientadores|electricos,Ambientador eléctrico aroma a limpio 3Volution recambio Ambi Pur 1 ud.,,otras marcas,False,5.99,5.99,ud,2023-03-15,False
25868681,mercadona.es,cuidado_facial_y_corporal|protector_solar_y_aftersun,Crema protección solar infantil FPS 50+ Sun Med para pieles sensibles y atópicas,Bote,otras marcas,False,3.5,4.667,100ml,2023-03-15,False
25861259,dia.es,despensa|desayunos_y_dulces|galletas,FONTANEDA galletas digestive finas con chocolate negro caja 170 gr,,fontaneda,False,2.45,14.41,kg,2023-03-15,False
25867810,mercadona.es,conservas_caldos_y_cremas|sopa_y_caldo,Tallarines a la carbonara Hacendado,Sobre,hacendado,True,1.45,7.632,kg,2023-03-15,False
25865994,mercadona.es,azucar_caramelos_y_chocolate|chicles_y_caramelos,Chicle sandía lámina Hacendado,Paquete,hacendado,True,0.95,3.065,100g,2023-03-15,False
25868471,mercadona.es,cuidado_facial_y_corporal|higiene_intima,Protector cama tamaño 60 x 90 cm Deliplus,Paquete,deliplus,True,8.5,0.425,ud,2023-03-15,False
25868018,mercadona.es,cuidado_del_cabello|coloracion_cabello,Coloración permanente 7 1/2.1 rubio medio ceniza Deliplus,Caja,deliplus,True,3.9,3.9,ud,2023-03-15,False
25861216,dia.es,despensa|desayunos_y_dulces|galletas,LU PRINCIPE mini galletas rellenas de chocolate pack 4 bolsitas paquete 160 gr,,lu principe,False,1.9,11.88,kg,2023-03-15,False
25869237,mercadona.es,limpieza_y_hogar|insecticida_y_ambientador,Ambientador eléctrico Jardín Bosque Verde 6 fragancias,Caja,bosque verde,True,2.9,11.6,100ml,2023-03-15,False
25865060,dia.es,cuidado_del_hogar|productos_de_limpieza|hogar,TENSO PRO limpiador jabonoso madera botella 1 lt,,tenso pro,False,1.95,1.95,l,2023-03-15,False
25863015,dia.es,bebidas|cervezas|nacionales,EL AGUILA cerveza dorada lata 33 cl,,el aguila,False,0.89,2.7,l,2023-03-15,False
25865900,mercadona.es,arroz_legumbres_y_pasta|legumbres,Lenteja cocida pardina Hacendado,Tarro,hacendado,True,0.75,3.572,kg,2023-03-15,False
25863195,dia.es,bebidas|refrescos,SCHWEPPES tónica pink lata 33 cl,,schweppes,False,0.99,3.0,l,2023-03-15,False
25869928,mercadona.es,marisco_y_pescado|salazones_y_ahumados,Boquerones en vinagre Hacendado en aceite de girasol,Bandeja,hacendado,True,5.95,18.031,kg,2023-03-15,False
25859543,carrefour.es,limpieza_y_hogar|ambientadores|aerosol_o_pistola,Ambientador en spray vainilla Essential Carrefour 300 ml.,,carrefour,True,1.3,4.33,l,2023-03-15,False
25859665,carrefour.es,limpieza_y_hogar|papeleria|boligrafos_y_correctores,Pack 2 Bolígrafos Tinta Base de Aceite Súper Grip Azules,,otras marcas,False,3.79,1.89,ud,2023-03-15,False
25868906,mercadona.es,fruta_y_verdura|verdura,Palitos de zanahoria,Tarrina,otras marcas,False,1.78,9.889,kg,2023-03-15,False
